step,loss_function,target_value,elapsed_time
24900,8.29217e-03,3.28614e+00,655
25000,8.55079e-03,3.29343e+00,658
25100,7.72838e-03,3.29305e+00,660
25200,8.17192e-03,3.28914e+00,663
25300,8.68407e-03,3.30032e+00,665
25400,7.49322e-03,3.30693e+00,668
25500,1.13389e-02,3.31218e+00,670
25600,8.68842e-03,3.30856e+00,673
25700,1.10562e-02,3.33521e+00,676
25800,8.63275e-03,3.31654e+00,678
25900,8.01028e-03,3.33011e+00,681
26000,1.07343e-02,3.32721e+00,683
26100,8.65364e-03,3.33649e+00,686
26200,8.73985e-03,3.33763e+00,689
26300,7.66624e-03,3.34122e+00,691
26400,8.55777e-03,3.34080e+00,694
26500,8.06050e-03,3.34529e+00,696
26600,1.47344e-02,3.36191e+00,699
26700,1.02911e-02,3.36011e+00,702
26800,8.59200e-03,3.36151e+00,704
26900,8.63558e-03,3.36979e+00,707
27000,9.94688e-03,3.36718e+00,709
27100,9.41253e-03,3.37417e+00,712
27200,6.86874e-03,3.36987e+00,714
27300,8.13494e-03,3.37141e+00,717
27400,7.18588e-03,3.38363e+00,720
27500,8.68000e-03,3.39406e+00,722
27600,9.82455e-03,3.38670e+00,725
27700,8.59230e-03,3.39755e+00,727
27800,1.07834e-02,3.40321e+00,730
27900,6.51195e-03,3.39724e+00,732
28000,9.57760e-03,3.40086e+00,735
28100,7.06569e-03,3.40764e+00,738
28200,1.01808e-02,3.41943e+00,740
28300,7.38067e-03,3.41204e+00,743
28400,7.15902e-03,3.41845e+00,745
28500,1.22178e-02,3.42812e+00,748
28600,7.58712e-03,3.42628e+00,751
28700,8.07633e-03,3.42983e+00,753
28800,6.50591e-03,3.42416e+00,756
28900,8.12846e-03,3.43092e+00,758
29000,7.95235e-03,3.43698e+00,761
29100,1.14138e-02,3.44342e+00,763
29200,8.11694e-03,3.44279e+00,766
29300,8.21210e-03,3.45159e+00,769
29400,7.33231e-03,3.45782e+00,771
29500,7.45023e-03,3.46056e+00,774
29600,6.37334e-03,3.46011e+00,776
29700,7.08447e-03,3.46811e+00,779
29800,7.29636e-03,3.46982e+00,782
29900,9.28507e-03,3.47150e+00,784
30000,7.54970e-03,3.47658e+00,787
30100,8.55344e-03,3.48197e+00,789
30200,7.05710e-03,3.47482e+00,792
30300,9.88289e-03,3.48899e+00,794
30400,8.91109e-03,3.48780e+00,797
30500,9.73933e-03,3.50270e+00,800
30600,9.39176e-03,3.48839e+00,802
30700,7.57295e-03,3.50160e+00,805
30800,7.75887e-03,3.50583e+00,807
30900,7.00661e-03,3.50680e+00,810
31000,7.38153e-03,3.51344e+00,813
31100,6.51159e-03,3.51110e+00,815
31200,7.71650e-03,3.51469e+00,818
31300,1.14601e-02,3.52100e+00,820
31400,6.43219e-03,3.51505e+00,823
31500,8.31153e-03,3.51788e+00,825
31600,9.88731e-03,3.52562e+00,828
31700,8.38674e-03,3.52745e+00,831
31800,6.83208e-03,3.53539e+00,833
31900,7.10544e-03,3.53820e+00,836
32000,7.11556e-03,3.53867e+00,838
32100,6.33952e-03,3.54614e+00,841
32200,6.60458e-03,3.54973e+00,844
32300,7.45802e-03,3.55517e+00,846
32400,6.80852e-03,3.55739e+00,849
32500,7.17502e-03,3.54680e+00,851
32600,6.85348e-03,3.55579e+00,854
32700,7.54350e-03,3.54904e+00,857
32800,1.46922e-02,3.56891e+00,859
32900,7.24310e-03,3.56871e+00,862
33000,7.62106e-03,3.56611e+00,864
33100,8.62392e-03,3.57170e+00,867
33200,8.89442e-03,3.58392e+00,869
33300,6.81408e-03,3.57915e+00,872
33400,8.67440e-03,3.58492e+00,875
33500,6.65291e-03,3.59006e+00,877
33600,6.97652e-03,3.59536e+00,880
33700,7.84292e-03,3.59785e+00,882
33800,8.73013e-03,3.60105e+00,885
33900,1.02038e-02,3.61232e+00,888
34000,7.03332e-03,3.60507e+00,890
34100,9.46978e-03,3.60163e+00,893
34200,7.65638e-03,3.60727e+00,895
34300,7.81043e-03,3.60229e+00,898
34400,7.58871e-03,3.61334e+00,901
34500,6.45914e-03,3.61442e+00,903
34600,6.44488e-03,3.62416e+00,906
34700,7.51390e-03,3.62699e+00,908
34800,1.08840e-02,3.63563e+00,911
34900,7.67656e-03,3.62690e+00,914
35000,6.02919e-03,3.62926e+00,916
35100,6.28549e-03,3.63854e+00,919
35200,7.85242e-03,3.63773e+00,921
35300,7.42684e-03,3.63835e+00,924
35400,7.06951e-03,3.64006e+00,927
35500,7.29194e-03,3.65025e+00,929
35600,8.93001e-03,3.64596e+00,932
35700,8.26452e-03,3.65206e+00,934
35800,6.52585e-03,3.63965e+00,937
35900,6.96686e-03,3.65008e+00,940
36000,6.19264e-03,3.66144e+00,942
36100,5.93321e-03,3.65625e+00,945
36200,6.80908e-03,3.66490e+00,947
36300,6.48907e-03,3.67069e+00,950
36400,6.74772e-03,3.67474e+00,952
36500,7.39747e-03,3.67579e+00,955
36600,6.17545e-03,3.67600e+00,958
